Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume Pair,Volume,Year,Month
1672527600000,2022-12-31T23:00:00.000Z,BTC/USD,16503.23,16545.6,16470.72,16529.0,101.80537817,1682741.09577193,2022,12
1672524000000,2022-12-31T22:00:00.000Z,BTC/USD,16535.01,16540.76,16481.1,16503.23,276.23633104,4558791.705509258,2022,12
1672520400000,2022-12-31T21:00:00.000Z,BTC/USD,16537.64,16539.2,16535.0,16535.01,30.04505346,496795.2594116345,2022,12
1672516800000,2022-12-31T20:00:00.000Z,BTC/USD,16532.71,16540.75,16532.0,16537.64,27.38766339,452927.3175849996,2022,12
1672513200000,2022-12-31T19:00:00.000Z,BTC/USD,16551.56,16551.56,16489.25,16532.71,242.63833735,4011469.2662897184,2022,12
1672509600000,2022-12-31T18:00:00.000Z,BTC/USD,16564.26,16571.08,16500.0,16551.56,67.39523644,1115496.2996508465,2022,12
1672506000000,2022-12-31T17:00:00.000Z,BTC/USD,16581.0,16582.59,16552.5,16564.26,17.30316505,286614.124711113,2022,12
1672502400000,2022-12-31T16:00:00.000Z,BTC/USD,16592.0,16593.95,16565.0,16581.0,200.08945434,3317683.24241154,2022,12
1672498800000,2022-12-31T15:00:00.000Z,BTC/USD,16574.3,16614.57,16574.3,16592.0,23.75043454,394067.20988768,2022,12
1672495200000,2022-12-31T14:00:00.000Z,BTC/USD,16577.0,16624.93,16568.8,16574.3,22.41966801,371590.303498143,2022,12
1672491600000,2022-12-31T13:00:00.000Z,BTC/USD,16564.26,16577.0,16560.37,16577.0,151.0887674,2504598.4971898,2022,12
1672488000000,2022-12-31T12:00:00.000Z,BTC/USD,16555.48,16570.21,16543.07,16564.26,6.58068361,109004.1542937786,2022,12
1672484400000,2022-12-31T11:00:00.000Z,BTC/USD,16549.51,16563.7,16548.55,16555.48,5.69246484,94241.48780932321,2022,12
1672480800000,2022-12-31T10:00:00.000Z,BTC/USD,16533.79,16558.23,16532.58,16549.51,4.37462611,72397.9185537061,2022,12
