Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume Pair,Volume,Year,Month
1609455600000,2020-12-31T23:00:00.000Z,ETH/USD,742.89,745.42,734.02,737.39,2288.12972552,1687243.9783011929,2020,12
1609452000000,2020-12-31T22:00:00.000Z,ETH/USD,739.35,743.69,737.08,742.89,992.09830012,737019.9061761468,2020,12
1609448400000,2020-12-31T21:00:00.000Z,ETH/USD,744.95,746.08,737.32,739.35,452.06806834,334236.52632717905,2020,12
1609444800000,2020-12-31T20:00:00.000Z,ETH/USD,738.9,745.0,738.83,744.95,327.96826054,244319.95568927302,2020,12
1609441200000,2020-12-31T19:00:00.000Z,ETH/USD,740.81,742.83,737.98,738.9,578.54760689,427488.826731021,2020,12
1609437600000,2020-12-31T18:00:00.000Z,ETH/USD,737.69,741.93,736.03,740.81,660.68587539,489442.70334766584,2020,12
1609434000000,2020-12-31T17:00:00.000Z,ETH/USD,727.94,743.29,727.41,737.69,835.94573109,616668.8063677822,2020,12
1609430400000,2020-12-31T16:00:00.000Z,ETH/USD,736.84,737.42,725.39,727.94,518.22214142,377234.6256252748,2020,12
1609426800000,2020-12-31T15:00:00.000Z,ETH/USD,731.47,739.16,731.37,736.84,489.57541729,360738.75047596364,2020,12
1609423200000,2020-12-31T14:00:00.000Z,ETH/USD,733.93,734.49,724.89,731.47,1926.52741813,1409197.010539551,2020,12
1609419600000,2020-12-31T13:00:00.000Z,ETH/USD,736.15,737.05,722.03,733.93,3441.67586863,2525949.170263616,2020,12
1609416000000,2020-12-31T12:00:00.000Z,ETH/USD,745.56,747.76,730.08,736.15,1147.84775365,844988.1238494475,2020,12
1609412400000,2020-12-31T11:00:00.000Z,ETH/USD,752.48,752.48,745.43,745.56,499.94586975,372739.64265080995,2020,12
1609408800000,2020-12-31T10:00:00.000Z,ETH/USD,746.88,753.33,745.76,752.48,702.595708,528689.21835584,2020,12
1609405200000,2020-12-31T09:00:00.000Z,ETH/USD,745.89,747.49,738.38,746.88,462.55187062,345470.74112866557,2020,12
1609401600000,2020-12-31T08:00:00.000Z,ETH/USD,750.37,750.37,742.87,745.89,385.25664486,287359.07883462537,2020,12
1609398000000,2020-12-31T07:00:00.000Z,ETH/USD,742.83,755.5,742.66,750.37,1037.00605621,778138.2343982977,2020,12
1609394400000,2020-12-31T06:00:00.000Z,ETH/USD,741.47,744.96,741.0,742.83,655.51830003,486938.6588112849,2020,12
1609390800000,2020-12-31T05:00:00.000Z,ETH/USD,742.77,743.61,736.62,741.47,470.11491776,348576.10807150725,2020,12
1609387200000,2020-12-31T04:00:00.000Z,ETH/USD,743.7,747.92,740.36,742.77,854.30900451,634555.0992798927,2020,12
1609383600000,2020-12-31T03:00:00.000Z,ETH/USD,738.82,744.34,736.47,743.7,1151.97002464,856720.1073247681,2020,12
1609380000000,2020-12-31T02:00:00.000Z,ETH/USD,737.97,742.51,735.4,738.82,1009.61592316,745924.4363490712,2020,12
1609376400000,2020-12-31T01:00:00.000Z,ETH/USD,745.69,746.98,728.17,737.97,2788.58989584,2057895.6854330448,2020,12
1609372800000,2020-12-31T00:00:00.000Z,ETH/USD,752.31,755.58,745.69,745.69,1105.25018633,824174.0114444176,2020,12
1609369200000,2020-12-30T23:00:00.000Z,ETH/USD,745.59,755.0,745.44,752.31,1185.20089146,891638.4826542726,2020,12
1609365600000,2020-12-30T22:00:00.000Z,ETH/USD,748.68,751.34,743.44,745.59,3757.13377459,2801281.370996558,2020,12
1609362000000,2020-12-30T21:00:00.000Z,ETH/USD,751.97,756.0,742.87,748.68,5871.03042432,4395523.058079897,2020,12
1609358400000,2020-12-30T20:00:00.000Z,ETH/USD,753.67,755.74,748.28,751.97,1322.53939396,994509.9480761013,2020,12
1609354800000,2020-12-30T19:00:00.000Z,ETH/USD,743.08,759.0,742.0,753.67,8319.3311655,6270030.319502384,2020,12
1609351200000,2020-12-30T18:00:00.000Z,ETH/USD,735.86,743.11,733.1,743.08,8748.35416206,6500727.010743545,2020,12
1609347600000,2020-12-30T17:00:00.000Z,ETH/USD,733.81,738.2,730.44,735.86,431.85324713,317783.5304330818,2020,12
1609344000000,2020-12-30T16:00:00.000Z,ETH/USD,734.34,738.21,727.67,733.81,473.65688722,347574.16041090817,2020,12
1609340400000,2020-12-30T15:00:00.000Z,ETH/USD,735.04,735.64,731.03,734.34,720.76905219,529289.5457852046,2020,12
1609336800000,2020-12-30T14:00:00.000Z,ETH/USD,723.99,736.81,723.99,735.04,521.41793975,383263.04243383993,2020,12
1609333200000,2020-12-30T13:00:00.000Z,ETH/USD,722.86,729.65,721.59,723.99,610.05912982,441676.70939838176,2020,12
1609329600000,2020-12-30T12:00:00.000Z,ETH/USD,724.86,726.07,719.52,722.86,470.44378281,340064.9928420366,2020,12
1609326000000,2020-12-30T11:00:00.000Z,ETH/USD,729.21,729.43,721.36,724.86,183.695895,133153.8064497,2020,12
1609322400000,2020-12-30T10:00:00.000Z,ETH/USD,725.43,732.8,724.85,729.21,216.23574412,157681.2669697452,2020,12
1609318800000,2020-12-30T09:00:00.000Z,ETH/USD,728.14,728.14,716.32,725.43,968.117714,702301.63326702,2020,12
1609315200000,2020-12-30T08:00:00.000Z,ETH/USD,733.12,736.86,725.9,728.14,1050.6883643,765048.2255814021,2020,12
1609311600000,2020-12-30T07:00:00.000Z,ETH/USD,736.23,743.34,733.12,733.12,1474.87884017,1081263.1753054305,2020,12
1609308000000,2020-12-30T06:00:00.000Z,ETH/USD,731.05,739.54,728.5,736.23,1378.51124009,1014901.3302914607,2020,12
1609304400000,2020-12-30T05:00:00.000Z,ETH/USD,729.86,733.49,728.19,731.05,1508.74024383,1102964.5552519215,2020,12
1609300800000,2020-12-30T04:00:00.000Z,ETH/USD,732.69,736.34,724.5,729.86,2147.9204842,1567681.244598212,2020,12
1609297200000,2020-12-30T03:00:00.000Z,ETH/USD,739.27,742.43,730.67,732.69,1707.7133622,1251224.503350318,2020,12
1609293600000,2020-12-30T02:00:00.000Z,ETH/USD,737.71,741.27,733.46,739.27,1077.64293927,796669.0957141329,2020,12
1609290000000,2020-12-30T01:00:00.000Z,ETH/USD,741.12,744.49,734.55,737.71,1739.81668759,1283480.1686020188,2020,12
