Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume Pair,Volume,Year,Month
1546297200000,2018-12-31T23:00:00.000Z,ETH/USD,130.89,131.38,128.53,130.8,1667.83646377,218153.00946111602,2018,12
1546293600000,2018-12-31T22:00:00.000Z,ETH/USD,130.13,131.15,128.24,130.89,1586.89409931,207708.56865868586,2018,12
1546290000000,2018-12-31T21:00:00.000Z,ETH/USD,130.57,131.17,129.49,130.13,4392.7477309,571628.2622220169,2018,12
1546286400000,2018-12-31T20:00:00.000Z,ETH/USD,131.13,131.77,130.1,130.57,5793.42232385,756447.1528250944,2018,12
1546282800000,2018-12-31T19:00:00.000Z,ETH/USD,135.06,135.13,128.55,131.13,4738.98826976,621423.5318136287,2018,12
1546279200000,2018-12-31T18:00:00.000Z,ETH/USD,135.08,135.13,134.74,135.06,1693.04913865,228663.216666069,2018,12
1546275600000,2018-12-31T17:00:00.000Z,ETH/USD,134.67,135.52,134.38,135.08,1673.54827776,226062.90135982083,2018,12
1546272000000,2018-12-31T16:00:00.000Z,ETH/USD,135.88,136.65,134.03,134.67,1538.6711925999998,207212.84950744195,2018,12
1546268400000,2018-12-31T15:00:00.000Z,ETH/USD,136.68,137.47,134.94,135.88,1037.54183037,140981.1839106756,2018,12
1546264800000,2018-12-31T14:00:00.000Z,ETH/USD,135.6,137.61,134.74,136.68,3979.79048427,543957.7633900236,2018,12
1546261200000,2018-12-31T13:00:00.000Z,ETH/USD,135.5,135.92,135.37,135.6,156.577215,21231.870354,2018,12
1546257600000,2018-12-31T12:00:00.000Z,ETH/USD,134.47,135.5,134.41,135.5,90.406368,12250.062864,2018,12
1546254000000,2018-12-31T11:00:00.000Z,ETH/USD,135.76,135.76,134.12,134.47,571.3002019999999,76822.73816293999,2018,12
1546250400000,2018-12-31T10:00:00.000Z,ETH/USD,135.57,135.96,135.57,135.76,366.53890625,49761.3219125,2018,12
1546246800000,2018-12-31T09:00:00.000Z,ETH/USD,134.86,136.57,134.86,135.57,859.583614,116533.75054998,2018,12
1546243200000,2018-12-31T08:00:00.000Z,ETH/USD,135.37,135.37,134.3,134.86,850.6306619999999,114716.05107732,2018,12
1546239600000,2018-12-31T07:00:00.000Z,ETH/USD,135.76,135.76,135.03,135.37,127.56588901,17268.5943952837,2018,12
1546236000000,2018-12-31T06:00:00.000Z,ETH/USD,134.91,135.76,134.56,135.76,161.59490699,21938.1245729624,2018,12
1546232400000,2018-12-31T05:00:00.000Z,ETH/USD,135.45,135.45,134.67,134.91,488.05821,65843.93311109999,2018,12
1546228800000,2018-12-31T04:00:00.000Z,ETH/USD,135.24,135.82,135.04,135.45,610.29906318,82665.00810773099,2018,12
1546225200000,2018-12-31T03:00:00.000Z,ETH/USD,134.01,135.66,133.78,135.24,614.126552,83054.47489248,2018,12
