id,currency,symbol,name,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,market_cap_dominance,volume,price_change,price_change_pct,volume_change,volume_change_pct,market_cap_change,market_cap_change_pct
IOT,IOT,IOT,IOTA (MIOTA),0.22685893,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,2779530283,2779530283,630561255,0.0005,5666919.34,0.0029500479,0.0132,1883643.54,0.4979,8199747.44,0.0132
MASK2,MASK2,MASK,Mask Network,6.19404814,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,100000000,100000000,619404814,0.0005,232204109.2,1.66939396,0.369,140345714.6,1.5278,166939395.7,0.369
TIME5,TIME5,TIME,TIME (Wonderland),11.87202137,2023-03-18T00:00:00Z,2023-03-18T12:48:00Z,51970534,51970826,616995295,0.0005,8860.97,-0.1591919,-0.0132,-3777.96,-0.2989,-8273287.89,-0.0132
RNDR,RNDR,RNDR,Render Token,1.54675413,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,361444954,531016083,559066475,0.0005,102699118.9,0.14020757,0.0997,6661365.9,0.0694,50677319.99,0.0997
TWT,TWT,TWT,Trust Wallet,1.31123029,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,416649900,1000000000,546323970,0.0005,24182451.31,0.064992059,0.0522,9442200.56,0.6406,27078935.06,0.0522
PAXG,PAXG,PAXG,PAX Gold,1975.866486,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,255405,255405,504645862,0.0004,16455139.64,26.62279548,0.0137,3052440.29,0.2277,6799590.79,0.0137
TKX,TKX,TKX,Tokenize Xchange,6.28307764,2023-03-18T00:00:00Z,2023-03-18T10:47:00Z,79996000,100000000,502621078,0.0004,3341.67,0.045771892,0.0073,-1527.89,-0.3138,3661568.28,0.0073
LRC,LRC,LRC,Loopring,0.3731046,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,1338996497,1373873397,499585758,0.0004,29823539.43,0.030699942,0.0897,9478049.8,0.4659,41107114.65,0.0897
OSMO,OSMO,OSMO,Osmosis,0.8957026,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,548479012,1000000000,491274075,0.0004,3140440.56,-0.0044849012,-0.005,1215674.8,0.6316,-1966620.93,-0.004
ZIL,ZIL,ZIL,Zilliqa,0.029520253,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,16252252783,17301434330,479770609,0.0004,12241790.19,0.00069958015,0.0243,1299069.34,0.1187,11470698.72,0.0245
AR,AR,AR,Arweave,9.39962032,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,50108502,66000000,471000893,0.0004,20817526.13,0.20658383,0.0225,-1107323.44,-0.0505,10351606.31,0.0225
FET,FET,FET,Fetch,0.45076949,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,1043462805,1152997575,470361196,0.0004,224105675.2,0.013060959,0.0298,5359816.86,0.0245,13628624.88,0.0298
KAVA,KAVA,KAVA,Kava,1.04697348,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,446318591,446318591,467283729,0.0004,16153230.46,0.012883205,0.0125,-654432.27,-0.0389,6910575.35,0.015
RUNE,RUNE,RUNE,THORChain,1.49320432,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,300700561,500000000,449007375,0.0004,50869220.87,0.047988317,0.0332,7250036.24,0.1662,14430113.77,0.0332
DYDX,DYDX,DYDX,dYdX,2.92870951,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,152226224,1000000000,445826390,0.0004,103934307.2,0.38564232,0.1516,44300213.23,0.7429,58725801.6,0.1517
CVX,CVX,CVX,Convex Finance,5.87198566,2023-03-18T00:00:00Z,2023-03-18T13:49:00Z,75596316,97668564,443900484,0.0004,13911972.98,0.44794061,0.0826,-1805485.14,-0.1149,34565607.59,0.0844
ENJ,ENJ,ENJ,Enjin Coin,0.43297345,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,999999956,1000000000,432973433,0.0004,14586990.63,0.021854193,0.0532,-4030203.21,-0.2165,21854191.99,0.0532
ZEC,ZEC,ZEC,Zcash,37.66294696,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,11190001,21000000,421448416,0.0004,10773599.18,1.5508107,0.0429,932191.73,0.0947,14932608.24,0.0367
CSPR,CSPR,CSPR,Casper Network,0.038367616,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,10833160769,11575611767,415642554,0.0003,38209.51,0.00019464883,0.0051,-9236.06,-0.1947,2194727.02,0.0053
BTSE,BTSE,BTSE,BTSE Token,2.53135571,2023-03-18T00:00:00Z,2023-03-17T14:04:00Z,162061501,200000000,410235307,0.0003,1749.14,0.11101314,0.0459,,,17990955.54,0.0459
ENS,ENS,ENS,Ethereum Name Service,14.8085604,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,27522958,100000000,407575384,0.0003,31062903.5,0.40680685,0.0282,-27781182.01,-0.4721,11196527.73,0.0282
FTXTOKEN,FTXTOKEN,FTT,FTX Token,1.62090749,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,248496018,328895113,402789058,0.0003,9466632.9,0.39975365,0.3274,7416867.01,3.6184,99337189.83,0.3274
